time,seconds_elapsed,x,y,z
1772701797868866800,6.005867,-0.268993,1.305998,-4.354562
1772701797878914800,6.015915,0.332480,1.106578,-6.124288
1772701797888963800,6.025964,1.355847,1.146769,-8.264239
1772701797899012900,6.036013,2.646153,1.317018,-10.173323
1772701797909062000,6.046062,4.195472,1.261927,-11.955846
1772701797919110000,6.056110,5.696028,0.921871,-12.661661
1772701797929159000,6.066159,7.335561,0.596465,-12.938904
1772701797939207700,6.076208,8.869784,0.719721,-13.829445
1772701797949257000,6.086257,10.245065,0.797343,-15.062119
1772701797959304700,6.096305,11.573758,0.428911,-15.748319
1772701797969354000,6.106354,11.806583,-0.345788,-16.134015
1772701797979402800,6.116403,11.583798,-1.129503,-16.309185
1772701797989451000,6.126451,11.251857,-1.789917,-15.493202
1772701797999499800,6.136500,9.404612,-1.630596,-14.904043
1772701798009548800,6.146549,7.603353,-1.192406,-13.588101
1772701798019597800,6.156598,6.130685,-1.926087,-9.897882
1772701798029645800,6.166646,4.271038,-2.440710,-6.427004
1772701798039694800,6.176695,2.412978,-2.027162,-4.174517
1772701798049744000,6.186744,1.254088,-0.975604,-2.423868
1772701798059792600,6.196793,0.632142,0.293604,-0.119313
1772701798069841000,6.206841,0.617626,0.813778,2.962662
1772701798079889700,6.216890,0.338103,0.907367,5.913274
1772701798089939000,6.226939,-0.708785,0.638273,8.597014
1772701798099988000,6.236988,-1.618989,0.676431,10.871391
1772701798110036000,6.247036,-2.540797,0.729128,12.729808
1772701798120084700,6.257085,-3.378102,0.557616,13.973426
1772701798130133800,6.267134,-4.033990,0.420087,14.794334
1772701798140183000,6.277183,-4.539731,0.482210,15.345339
1772701798150230800,6.287231,-4.876839,0.500911,15.590466
1772701798160279800,6.297280,-5.165232,0.012526,16.116991
1772701798170328800,6.307329,-5.418675,0.363401,16.490602
1772701798180376800,6.317377,-5.367323,0.516080,16.551649
1772701798190425900,6.327426,-5.311417,-0.060039,16.587332
1772701798200475000,6.337475,-6.007158,-0.397422,16.802692
