time,seconds_elapsed,x,y,z
1772701783233839900,1.008840,0.135857,0.606931,0.351662
1772701783243889200,1.018889,0.097411,0.238718,0.332400
1772701783253938000,1.028938,0.027860,0.001202,0.295783
1772701783263986200,1.038986,-0.048560,-0.165124,0.271617
1772701783274035000,1.049035,-0.112716,-0.231613,0.235967
1772701783284084000,1.059084,-0.124752,-0.147279,0.221572
1772701783294132000,1.069132,-0.092646,0.090944,0.264884
1772701783304181000,1.079181,-0.014631,0.399635,0.338390
1772701783314230000,1.089230,0.062361,0.680754,0.381188
1772701783324278000,1.099278,0.111247,0.800352,0.422752
1772701783334327000,1.109327,0.151407,0.687517,0.461024
1772701783344376000,1.119376,0.201042,0.387733,0.498614
1772701783354424000,1.129424,0.250614,0.057975,0.537632
1772701783364473000,1.139473,0.298874,-0.229267,0.566730
1772701783374521000,1.149521,0.366615,-0.434909,0.592905
1772701783384570000,1.159570,0.457046,-0.467238,0.601794
1772701783394619000,1.169619,0.530239,-0.233127,0.611566
1772701783404667000,1.179667,0.568651,0.465090,0.520820
1772701783414716000,1.189716,0.527242,1.495738,0.352181
1772701783424765200,1.199765,0.477655,2.423891,0.382961
1772701783434813000,1.209813,0.621927,2.946926,0.689251
1772701783444862000,1.219862,0.862868,2.439593,0.834773
1772701783454911000,1.229911,0.787656,1.082305,0.299607
1772701783464959000,1.239959,0.829699,0.381507,0.389699
1772701783475008000,1.250008,1.923660,-0.530328,1.008995
1772701783485057000,1.260057,2.428532,-1.380111,0.830090
1772701783495105000,1.270105,1.781628,-2.019087,0.131878
1772701783505153800,1.280154,1.578541,-0.588853,-0.027771
1772701783515203000,1.290203,1.625468,0.597647,-0.185529
1772701783525250800,1.300251,1.452426,0.609892,-0.522468
1772701783535300000,1.310300,1.253380,-0.072644,-0.935803
1772701783545349000,1.320349,1.074476,-0.901931,-1.107409
1772701783555397000,1.330397,0.962589,-1.448481,-0.893461
1772701783565446000,1.340446,1.132366,-1.999715,-0.907502
1772701783575495000,1.350495,1.377185,-2.339144,-0.917026
1772701783585543000,1.360543,1.546113,-2.260043,-0.711744
1772701783595592000,1.370592,1.629664,-1.921437,-0.493114
1772701783605641000,1.380641,1.585487,-1.882439,-0.348963
1772701783615689000,1.390689,1.468411,-2.144213,-0.220212
1772701783625738000,1.400738,1.384699,-2.353712,-0.153505
1772701783635787000,1.410787,1.362618,-2.184402,-0.107678
1772701783645835000,1.420835,1.319207,-1.532344,-0.055784
1772701783655884000,1.430884,1.213111,-0.591918,0.023491
1772701783665932800,1.440933,0.960128,0.172180,0.129850
1772701783675981000,1.450981,0.521898,0.369744,0.166066
1772701783686029800,1.461030,-0.002958,0.133190,0.168176
1772701783696079000,1.471079,-0.472425,-0.019703,0.205008
1772701783706126800,1.481127,-0.933880,-0.153026,0.226149
1772701783716176100,1.491176,-1.284844,-0.052294,0.224789
1772701783726224000,1.501224,-1.490720,0.270975,0.269678
1772701783736273200,1.511273,-1.502468,0.700097,0.297284
1772701783746322000,1.521322,-1.352695,1.018848,0.292685
1772701783756370200,1.531370,-1.068737,1.156162,0.273852
1772701783766419000,1.541419,-0.749221,1.037836,0.225522
1772701783776468000,1.551468,-0.473657,0.782305,0.204953
1772701783786516000,1.561516,-0.322196,0.536958,0.114024
1772701783796565000,1.571565,-0.284872,0.350082,-0.061729
1772701783806614000,1.581614,-0.284691,0.277314,-0.255429
