time,seconds_elapsed,x,y,z
1772697868984356600,0.075357,-0.045730,-0.084671,0.051050
1772697868994405600,0.085406,-0.076061,-0.094808,0.067678
1772697869004454700,0.095455,-0.114234,-0.101982,0.092233
1772697869014503700,0.105504,-0.138031,-0.088939,0.112724
1772697869024551700,0.115552,-0.150618,-0.070050,0.130858
1772697869034600700,0.125601,-0.149514,-0.056283,0.130529
1772697869044649700,0.135650,-0.140241,-0.068831,0.128675
1772697869054697700,0.145698,-0.148948,-0.102633,0.125913
1772697869064746500,0.155747,-0.159221,-0.143816,0.133222
1772697869074795800,0.165796,-0.162415,-0.146006,0.144767
1772697869084843500,0.175844,-0.155235,-0.122819,0.152277
1772697869094892800,0.185893,-0.149751,-0.120672,0.171579
1772697869104941600,0.195942,-0.146516,-0.119733,0.186995
1772697869114990600,0.205990,-0.139447,-0.116665,0.199823
1772697869125038600,0.216039,-0.132255,-0.113456,0.207388
1772697869135087600,0.226088,-0.127000,-0.101118,0.209459
1772697869145137000,0.236137,-0.119189,-0.084727,0.195505
1772697869155184600,0.246185,-0.100946,-0.054611,0.170377
1772697869165233700,0.256234,-0.069614,-0.050104,0.136545
1772697869175282700,0.266283,-0.049306,-0.083521,0.117049
1772697869185330700,0.276331,-0.038773,-0.113804,0.108944
1772697869195379700,0.286380,-0.048356,-0.139201,0.119194
1772697869205428700,0.296429,-0.077073,-0.156315,0.157287
1772697869215477800,0.306478,-0.097462,-0.118085,0.193680
1772697869225525500,0.316525,-0.104654,-0.076130,0.210530
1772697869235574800,0.326575,-0.104729,-0.053849,0.206282
1772697869245623800,0.336624,-0.093053,-0.056603,0.191021
1772697869255671800,0.346672,-0.070271,-0.053864,0.172884
1772697869265720600,0.356720,-0.025109,-0.007149,0.156741
1772697869275769600,0.366770,0.029534,0.025935,0.132577
1772697869285819000,0.376819,0.071874,0.039426,0.113300
1772697869295866600,0.386867,0.088547,0.030790,0.102351
1772697869305916000,0.396916,0.066736,-0.009902,0.107144
1772697869315964700,0.406965,0.012076,-0.067347,0.112777
1772697869326012700,0.417013,-0.052423,-0.089619,0.121366
1772697869336061700,0.427062,-0.102720,-0.091424,0.134434
1772697869346110700,0.437111,-0.126540,-0.093952,0.146482
1772697869356159700,0.447160,-0.117676,-0.105490,0.153890
1772697869366207700,0.457208,-0.086938,-0.114448,0.158280
1772697869376256800,0.467257,-0.042955,-0.126909,0.149136
1772697869386305800,0.477306,0.008541,-0.126661,0.140257
1772697869396353800,0.487354,0.056723,-0.096603,0.119412
1772697869406402800,0.497403,0.094021,-0.063186,0.106059
1772697869416451600,0.507452,0.122069,-0.045249,0.097723
1772697869426499600,0.517500,0.138960,0.006090,0.076594
1772697869436548600,0.527549,0.156826,0.038638,0.065739
1772697869446598000,0.537598,0.172133,0.030726,0.049393
1772697869456646700,0.547647,0.175343,0.013771,0.038586
1772697869466695000,0.557695,0.169744,0.008244,0.037920
1772697869476743700,0.567744,0.146034,0.009636,0.052162
1772697869486792700,0.577793,0.115640,0.020860,0.062748
1772697869496840700,0.587841,0.069143,0.025553,0.068074
1772697869506889700,0.597890,0.024829,0.031742,0.073714
1772697869516938800,0.607939,-0.033346,0.041141,0.069246
1772697869526987800,0.617988,-0.065467,0.074353,0.083960
1772697869537035800,0.628036,-0.065523,0.169705,0.105841
1772697869547084800,0.638085,-0.074727,0.268347,0.099846
1772697869557133600,0.648134,-0.075593,0.378018,0.091733
1772697869567181800,0.658182,-0.074851,0.441912,0.091102
1772697869577230600,0.668231,-0.091265,0.416975,0.113849
1772697869587280000,0.678280,-0.130615,0.373626,0.145520
1772697869597328600,0.688329,-0.163580,0.326495,0.182824
1772697869607377000,0.698377,-0.173560,0.264500,0.209360
1772697869617425700,0.708426,-0.149779,0.223293,0.201158
1772697869627474700,0.718475,-0.076638,0.194231,0.195668
1772697869637522700,0.728523,0.036479,0.175784,0.183190
1772697869647571700,0.738572,0.172695,0.110443,0.173423
1772697869657620700,0.748621,0.299217,0.058320,0.149330
1772697869667669800,0.758670,0.406368,0.019444,0.122219
1772697869677717800,0.768718,0.489620,0.003961,0.095954
1772697869687766800,0.778767,0.542821,0.010107,0.075495
1772697869697815600,0.788816,0.570197,0.047468,0.047597
1772697869707863800,0.798864,0.579409,0.098931,0.019022
1772697869717912600,0.808913,0.586121,0.178820,0.004488
1772697869727961900,0.818962,0.574845,0.236452,-0.026258
1772697869738009600,0.829010,0.540234,0.272638,-0.072371
1772697869748059000,0.839059,0.488874,0.303332,-0.105670
1772697869758107600,0.849108,0.432437,0.342765,-0.127786
1772697869768156700,0.859157,0.378799,0.363671,-0.131191
1772697869778204700,0.869205,0.319716,0.412646,-0.126924
1772697869788253700,0.879254,0.258991,0.423064,-0.112619
1772697869798302700,0.889303,0.195991,0.421633,-0.112020
1772697869808350700,0.899351,0.147531,0.413195,-0.127610
1772697869818399700,0.909400,0.107083,0.392896,-0.164901
1772697869828448800,0.919449,0.067447,0.353024,-0.208756
1772697869838497500,0.929498,0.035431,0.293681,-0.239404
1772697869848545800,0.939546,-0.001804,0.245080,-0.248199
1772697869858594600,0.949594,-0.020672,0.222732,-0.243360
1772697869868643800,0.959644,-0.052304,0.194805,-0.224037
1772697869878691600,0.969692,-0.090594,0.187869,-0.197888
1772697869888740900,0.979741,-0.103852,0.210753,-0.169328
1772697869898789600,0.989790,-0.087489,0.248746,-0.168552
1772697869908838700,0.999839,-0.042976,0.266234,-0.193015
1772697869918886700,1.009887,-0.003403,0.223762,-0.203204
1772697869928935700,1.019936,0.031320,0.182365,-0.208032
