time,seconds_elapsed,x,y,z
1772697820675027500,0.075027,0.092150,-0.002640,-0.064835
1772697820685075200,0.085075,0.097099,-0.000082,-0.051316
1772697820695124200,0.095124,0.059847,-0.021318,-0.043124
1772697820705172200,0.105172,0.059027,-0.051512,-0.096390
1772697820715221200,0.115221,0.049207,-0.018959,-0.040016
1772697820725270300,0.125270,0.037647,-0.041715,0.041171
1772697820735318300,0.135318,0.050615,-0.050779,0.082624
1772697820745367300,0.145367,0.076550,-0.058850,0.075439
1772697820755415300,0.155415,0.089801,-0.061551,0.080199
1772697820765464300,0.165464,0.082789,-0.016256,0.105342
1772697820775513000,0.175513,0.071951,0.022189,0.061368
1772697820785561300,0.185561,0.057703,0.074953,-0.001322
1772697820795610000,0.195610,0.018813,0.106104,-0.021346
1772697820805659400,0.205659,-0.041887,0.089984,0.020857
1772697820815707100,0.215707,-0.072209,0.056670,0.068218
1772697820825756400,0.225756,-0.071935,0.022049,0.044244
1772697820835804200,0.235804,-0.125947,-0.023304,-0.002526
1772697820845853400,0.245854,-0.127652,-0.007423,-0.037486
1772697820855902200,0.255902,-0.083506,0.028857,-0.032989
1772697820865950500,0.265950,-0.115179,0.066717,0.029526
1772697820875999200,0.275999,-0.183964,0.076442,0.102454
1772697820886047500,0.286048,-0.226841,0.045532,0.123623
1772697820896096300,0.296096,-0.297698,-0.017387,0.085726
1772697820906145300,0.306145,-0.271628,-0.074883,0.071093
1772697820916193300,0.316193,-0.255424,-0.076744,0.064829
1772697820926242300,0.326242,-0.211308,-0.044730,0.025892
1772697820936291300,0.336291,-0.209961,-0.075836,-0.038833
1772697820946339300,0.346339,-0.112850,-0.142729,-0.110126
1772697820956388400,0.356388,-0.032564,-0.173375,-0.259236
1772697820966436400,0.366436,0.000288,-0.209158,-0.426841
1772697820976485400,0.376485,0.056880,-0.216562,-0.633243
1772697820986534400,0.386534,0.133135,-0.238973,-0.778529
1772697820996582100,0.396582,0.149344,-0.113823,-0.803769
1772697821006631400,0.406631,0.115538,0.039929,-0.852147
1772697821016680400,0.416680,0.211876,0.109137,-0.786383
1772697821026728400,0.426729,0.314473,0.222153,-0.651541
1772697821036777500,0.436778,0.388032,0.329793,-0.472395
1772697821046825500,0.446825,0.356183,0.390251,-0.352935
1772697821056874200,0.456874,0.393373,0.414149,-0.293387
1772697821066923300,0.466923,0.392177,0.396097,-0.247871
1772697821076971300,0.476971,0.327442,0.330412,-0.330754
1772697821087020300,0.487020,0.180914,0.264407,-0.355941
1772697821097068300,0.497068,0.073702,0.187606,-0.259539
1772697821107117300,0.507117,0.010013,0.145418,-0.159479
1772697821117166300,0.517166,-0.039432,0.156073,-0.148776
1772697821127214300,0.527214,-0.016353,0.216932,-0.239984
1772697821137263400,0.537263,-0.015321,0.292954,-0.359970
1772697821147312400,0.547312,-0.091099,0.350447,-0.404876
