time,seconds_elapsed,x,y,z
1772702157742205000,2.004205,0.007424,0.011476,0.007526
1772702157752254700,2.014255,-0.009187,0.008032,0.008128
1772702157762303700,2.024304,-0.008830,0.001580,0.008578
1772702157772353800,2.034354,0.017067,0.009111,0.013216
1772702157782402800,2.044403,-0.010126,0.002285,-0.002949
1772702157792452900,2.054453,0.000039,0.001461,0.014709
1772702157802502000,2.064502,0.000267,0.013435,0.003640
1772702157812551700,2.074552,0.002803,0.006829,0.016509
1772702157822601000,2.084601,-0.004477,0.006532,0.010527
1772702157832651000,2.094651,0.004505,-0.008781,0.007838
1772702157842699800,2.104700,-0.001690,-0.009793,-0.003232
1772702157852749800,2.114750,-0.012553,-0.000233,0.004845
1772702157862798600,2.124799,0.002107,-0.009682,0.012772
1772702157872848600,2.134849,0.011301,0.000616,0.010080
1772702157882898000,2.144898,0.001383,0.001995,-0.003688
1772702157892948000,2.154948,0.002559,0.010852,0.004695
1772702157902996700,2.164997,-0.004688,0.005853,-0.000844
1772702157913046800,2.175047,0.000067,0.012442,-0.000695
1772702157923095800,2.185096,-0.010590,0.012608,-0.005334
1772702157933145900,2.195146,0.005800,0.000650,0.002750
1772702157943195000,2.205195,0.007351,0.008535,0.001554
1772702157953244700,2.215245,-0.007037,0.010857,-0.003828
1772702157963293700,2.225294,-0.000814,0.004956,-0.001582
1772702157973343700,2.235344,-0.002452,0.009867,-0.004275
1772702157983392800,2.245393,0.012806,0.010772,0.000809
1772702157993442800,2.255443,0.009719,-0.000541,0.002902
1772702158003491800,2.265492,0.013524,-0.003712,0.000658
1772702158013541600,2.275542,0.006311,0.000215,-0.000091
1772702158023591000,2.285591,-0.012082,0.010538,0.003201
1772702158033641000,2.295641,-0.001498,0.009746,0.015477
1772702158043689700,2.305690,-0.008804,-0.003295,0.009642
1772702158053739800,2.315740,0.014909,-0.007048,-0.007117
1772702158063788800,2.325789,0.010829,0.014933,0.000216
1772702158073838600,2.335839,0.010119,0.003811,0.012338
1772702158083887900,2.345888,0.009807,0.004059,-0.000834
1772702158093938000,2.355938,-0.006104,-0.003328,0.004255
1772702158103987700,2.365988,0.005218,0.002227,0.008446
1772702158114036700,2.376037,-0.002545,-0.005330,0.018173
1772702158124086800,2.386087,-0.002064,-0.006649,0.011439
1772702158134135800,2.396136,0.001159,0.013571,0.015482
1772702158144185900,2.406186,-0.006320,0.003870,0.006656
1772702158154235000,2.416235,-0.007236,-0.007950,0.001718
1772702158164284700,2.426285,0.010976,0.005444,0.002617
1772702158174333700,2.436334,0.002367,0.015510,0.005164
1772702158184383700,2.446384,-0.019298,-0.006033,-0.005311
1772702158194432800,2.456433,-0.008246,0.008260,0.002023
1772702158204482800,2.466483,-0.000493,0.008724,0.004866
1772702158214531800,2.476532,0.006206,0.005896,0.002321
1772702158224581600,2.486582,0.009165,-0.004675,-0.005903
1772702158234631000,2.496631,0.008551,-0.000549,0.000981
1772702158244681000,2.506681,-0.010060,0.011986,0.004274
1772702158254729700,2.516730,-0.002701,0.021982,0.011603
1772702158264779800,2.526780,-0.003399,-0.002190,0.013843
1772702158274828800,2.536829,-0.003617,0.015800,-0.000676
1772702158284878800,2.546879,0.015584,0.003164,-0.002765
1772702158294928000,2.556928,0.004651,0.017321,-0.001417
1772702158304978000,2.566978,-0.009359,0.013784,0.003220
1772702158315026700,2.577027,-0.000783,-0.001699,-0.003666
1772702158325076700,2.587077,-0.008449,0.005374,0.019078
1772702158335125800,2.597126,0.000290,-0.003095,0.010106
1772702158345175800,2.607176,-0.008023,-0.013792,0.001129
1772702158355224800,2.617225,0.013553,0.001411,-0.012489
1772702158365275000,2.627275,0.014394,0.002336,0.016539
1772702158375323600,2.637324,-0.001488,-0.004204,-0.000820
1772702158385374000,2.647374,-0.004223,0.004629,0.011600
1772702158395422700,2.657423,-0.000748,0.013499,0.005614
1772702158405472800,2.667473,-0.003292,0.008641,-0.004559
1772702158415521800,2.677522,0.006757,0.028114,0.006513
1772702158425571800,2.687572,0.014260,0.002884,-0.005011
1772702158435620900,2.697621,0.004267,-0.014230,0.001426
1772702158445671000,2.707671,0.000723,-0.007448,0.002622
1772702158455719700,2.717720,-0.001938,0.006685,0.001273
1772702158465769700,2.727770,-0.001140,0.001979,0.005457
1772702158475818800,2.737819,-0.016204,-0.000676,-0.002621
1772702158485868800,2.747869,0.001470,0.006942,0.002018
1772702158495917800,2.757918,0.013695,0.006252,0.013838
1772702158505967900,2.767968,0.015192,-0.001137,-0.000829
1772702158516016600,2.778017,-0.001646,0.001200,-0.008163
1772702158526066700,2.788067,0.003539,-0.002631,0.004555
1772702158536116000,2.798116,0.005938,0.014776,-0.003224
1772702158546165800,2.808166,-0.005686,0.015352,-0.002620
1772702158556214800,2.818215,-0.008993,0.004976,-0.001269
1772702158566264800,2.828265,-0.017140,0.006938,0.003519
1772702158576313900,2.838314,-0.010170,0.006289,0.013392
1772702158586364000,2.848364,-0.010526,-0.001448,0.000974
1772702158596413000,2.858413,-0.004448,-0.015554,0.008454
1772702158606463000,2.868463,0.018006,-0.016025,0.007852
1772702158616511700,2.878512,0.006305,-0.009256,-0.006211
1772702158626561800,2.888562,0.021401,-0.007132,0.012197
1772702158636610800,2.898611,0.005910,0.005692,-0.000371
1772702158646660900,2.908661,-0.018492,0.000502,-0.003810
1772702158656710000,2.918710,-0.008968,-0.001842,0.005915
1772702158666759700,2.928760,-0.000347,0.008722,-0.009196
1772702158676809000,2.938809,0.004046,0.003289,0.007112
