time,seconds_elapsed,x,y,z
1772702703170806500,1.001807,-0.002316,0.000812,-0.003478
1772702703180856600,1.011857,-0.003888,0.000671,-0.003312
1772702703190906600,1.021907,-0.001942,0.003125,-0.002890
1772702703200956700,1.031957,-0.003101,-0.004999,-0.002315
1772702703211006700,1.042007,-0.003803,0.000337,-0.002239
1772702703221056500,1.052056,-0.000100,0.001153,-0.001394
1772702703231106600,1.062106,0.001252,-0.002828,-0.000075
1772702703241156600,1.072156,-0.002091,-0.001305,-0.000701
1772702703251206700,1.082207,-0.000901,0.000392,0.002623
1772702703261256700,1.092257,0.002021,-0.000325,0.003264
1772702703271306500,1.102306,-0.000784,-0.000235,0.003325
1772702703281356500,1.112356,-0.001017,0.001386,0.005893
1772702703291406600,1.122406,0.000501,-0.001530,0.003824
1772702703301456600,1.132457,-0.001521,-0.002785,0.002604
1772702703311506400,1.142506,0.001403,-0.007526,0.003634
1772702703321556500,1.152556,-0.000912,-0.008283,0.004520
1772702703331606500,1.162606,-0.003035,-0.012392,0.001390
1772702703341655600,1.172656,-0.005120,-0.014780,0.000495
1772702703351705600,1.182706,-0.003353,-0.012657,0.003025
1772702703361755600,1.192756,-0.004231,-0.008951,0.002323
1772702703371805700,1.202806,-0.004878,-0.005450,0.002195
1772702703381855500,1.212855,-0.000532,-0.002273,0.005590
1772702703391905500,1.222906,-0.001759,-0.001763,0.001622
1772702703401955600,1.232956,-0.003760,-0.003656,0.001585
1772702703412005600,1.243006,-0.000647,-0.003511,0.003364
1772702703422055400,1.253055,-0.003478,-0.014514,0.001221
1772702703432105500,1.263105,-0.002948,-0.015392,0.001188
1772702703442155500,1.273156,-0.001980,-0.016744,0.003544
1772702703452205600,1.283206,-0.004091,-0.014255,0.002357
1772702703462255400,1.293255,-0.001319,-0.007286,-0.001006
1772702703472305700,1.303306,-0.004224,-0.002802,0.003500
1772702703482355700,1.313356,-0.001149,-0.003690,0.002981
1772702703492405800,1.323406,-0.001297,0.000260,0.002065
1772702703502455600,1.333456,-0.000429,0.001872,0.002376
1772702703512505600,1.343506,-0.001594,-0.002639,0.004543
1772702703522555600,1.353556,0.000752,-0.003340,0.004486
1772702703532604700,1.363605,0.003220,-0.003574,0.002316
1772702703542654500,1.373655,0.002031,-0.005672,0.004681
1772702703552704500,1.383705,0.003274,-0.007300,0.000252
1772702703562754600,1.393755,0.002114,-0.006558,-0.000149
1772702703572804600,1.403805,0.001329,-0.004626,-0.000049
1772702703582854400,1.413854,-0.001264,-0.002585,0.002676
1772702703592904400,1.423905,-0.001068,0.000828,-0.000458
1772702703602954800,1.433955,-0.000490,0.004141,-0.000031
1772702703613004800,1.444005,0.002569,0.004783,0.000097
1772702703623054600,1.454055,0.001481,0.002743,0.000176
1772702703633104600,1.464105,0.000446,0.005637,-0.000435
1772702703643154700,1.474155,0.002662,0.004439,-0.000957
1772702703653204700,1.484205,-0.000782,0.002028,-0.002190
1772702703663254500,1.494255,-0.002598,0.001269,-0.001239
1772702703673304600,1.504305,-0.000842,0.001266,-0.000291
1772702703683354600,1.514355,-0.003034,0.001317,-0.002531
1772702703693404700,1.524405,-0.002887,0.003303,-0.001724
1772702703703454500,1.534454,-0.002446,-0.002227,-0.000488
1772702703713503500,1.544503,-0.001364,-0.001388,-0.003024
1772702703723553500,1.554553,-0.000283,-0.000909,0.000631
1772702703733603600,1.564604,-0.002108,-0.000736,0.000939
1772702703743653600,1.574654,0.000588,0.003382,-0.000743
1772702703753703700,1.584704,-0.002069,0.002610,0.000444
1772702703763753700,1.594754,0.002968,-0.000339,-0.001583
1772702703773803500,1.604803,0.000434,0.001170,0.001574
1772702703783853600,1.614854,0.003617,0.001713,0.000278
