time,seconds_elapsed,x,y,z
1772702661021377500,3.002377,0.026928,0.005140,0.008777
1772702661031427600,3.012427,0.007454,0.012112,-0.009435
1772702661041477600,3.022478,0.011018,0.013039,-0.006333
1772702661051527400,3.032527,0.006672,0.010165,-0.015491
1772702661061577500,3.042577,-0.008079,0.010075,-0.020815
1772702661071627500,3.052627,-0.010392,0.017583,-0.030955
1772702661081676500,3.062677,-0.003865,0.016737,-0.021635
1772702661091726600,3.072727,-0.006318,0.012918,-0.013560
1772702661101776600,3.082777,0.021675,-0.014185,-0.001077
1772702661111826700,3.092827,0.049957,-0.035865,0.010793
1772702661121876500,3.102876,0.048217,-0.031415,0.027563
1772702661131926500,3.112927,0.080014,-0.012650,0.033419
1772702661141976600,3.122977,0.077360,0.033806,0.020445
1772702661152026600,3.133027,0.046824,0.027039,-0.001811
1772702661162075400,3.143075,0.009013,0.019833,-0.030588
1772702661172125700,3.153126,-0.004425,0.035619,-0.026109
1772702661182175700,3.163176,0.003017,0.021537,-0.016811
1772702661192225500,3.173226,0.002914,0.007948,0.008962
1772702661202275600,3.183276,0.011189,-0.010974,0.011294
1772702661212325600,3.193326,-0.011585,-0.012937,0.033144
1772702661222375700,3.203376,-0.006915,0.014668,0.065445
1772702661232425700,3.213426,-0.017120,0.028959,0.031078
1772702661242474500,3.223475,-0.002460,0.042044,0.020423
1772702661252524500,3.233525,0.024500,0.031712,0.008984
1772702661262574600,3.243575,0.030327,0.035079,0.017257
1772702661272624400,3.253624,0.017530,0.048408,0.013682
1772702661282674400,3.263674,0.000145,0.036205,-0.007330
1772702661292724700,3.273725,-0.002477,0.028681,-0.002219
1772702661302774800,3.283775,-0.018259,0.008931,0.003893
1772702661312824600,3.293824,-0.015355,0.026105,0.036664
1772702661322873600,3.303874,-0.008740,0.019969,0.009425
1772702661332923600,3.313924,-0.003188,0.004578,0.013001
1772702661342973400,3.323973,-0.007427,0.001204,0.002605
1772702661353023500,3.334023,0.023946,-0.000610,0.012366
1772702661363073500,3.344073,0.022272,0.006988,-0.002513
1772702661373123600,3.354124,0.041554,0.002334,0.014117
1772702661383173400,3.364173,0.044976,-0.007130,0.030714
1772702661393223400,3.374223,0.026186,0.014560,0.027651
1772702661403273500,3.384273,0.026024,0.025372,0.034157
1772702661413322800,3.394323,-0.002374,0.043330,0.006551
1772702661423372500,3.404373,0.000482,0.036128,0.000886
1772702661433422600,3.414423,-0.006358,0.027400,0.003488
1772702661443472600,3.424473,0.002600,0.025433,0.010531
1772702661453522700,3.434523,0.005398,-0.008232,0.029950
1772702661463572500,3.444573,0.026898,-0.027245,0.043694
1772702661473622500,3.454623,0.008782,0.007543,0.057289
1772702661483672600,3.464673,0.010657,0.007001,0.029061
1772702661493721600,3.474722,-0.015207,0.006963,0.004711
1772702661503771600,3.484772,-0.002702,0.035752,-0.026300
1772702661513821700,3.494822,-0.018891,0.011021,-0.032409
1772702661523871700,3.504872,-0.012336,0.001447,-0.019749
1772702661533921500,3.514922,0.010846,0.028407,0.023310
1772702661543971600,3.524972,0.041350,0.020946,0.046574
1772702661554021600,3.535022,0.011016,0.013134,0.050134
1772702661564071700,3.545072,0.013590,0.003657,0.019348
1772702661574121500,3.555122,-0.006623,0.009154,0.005056
1772702661584170500,3.565170,-0.022679,0.009761,0.002145
1772702661594220500,3.575220,0.003522,0.004611,0.006035
1772702661604270300,3.585270,0.030015,-0.001194,0.016050
1772702661614320600,3.595321,0.018727,0.010198,0.010775
1772702661624370700,3.605371,0.018295,0.005268,0.010190
